Items,Type,Status,Project Type,Project #,Governance Framework,Project WO #s,Project Manager,PM Region,Project Status,Budget Type,Program,CY Actuals,CY Rem Fcst,Remaining Contingency,CY Tot EAC,CY Tot Fcst 3+9 Baseline,CY Tot EAC vs 3+9 Base Value,CY Tot EAC vs 3+9 Base Indicator,CY Budget Year Amount,CY Budget Adjustment,CY Bud incl Adj,CY Variance with Adjustments Value,CY Variance with Adjustments Indicator,Variance Explanation AFE vs CY Budget,Full or Phase 1 AFE,Phase 2 AFE,Supplemental AFE Amount,Total Approved AFE,AFE Stage,Total Requested AFE,Inception to Date Actuals,Project Rem Fcst,Project EAC,Supplemental AFE Required? Value,Supplemental AFE Required? Indicator,Cash Flow Start (Fcst),Full or Phase 1 AFE Approved Date,Full or Phase 1 AFE Approved Date P/D,Baseline Operational Date,Operational Date,AFE Past Due Days Value,AFE Past Due Days Indicator,CY 01 Jan Act,CY 02 Feb Act,CY 02 Feb Fcst,CY 02 Feb Fcst (asOf Cut-off),CY 02 Feb Var Value,CY 02 Feb Var Indicator,IT - Accruals,Monthly Variance Explanation,CY 03 Mar Fcst,CY 04 Apr Fcst,CY 05 May Fcst,CY 06 Jun Fcst,CY 07 Jul Fcst,CY 08 Aug Fcst,CY 09 Sep Fcst,CY 10 Oct Fcst,CY 11 Nov Fcst,CY 12 Dec Fcst,Remaining Contingency2,Project Status Notes,Project Status Notes Updated On,Financial Forecast Notes,PCA,PM Designate,PMO-Region,PMO-Division,Financial Reporting Category 2022,Financial Reporting Category 2022 Override,PMO-Asset Team,PMO-Location Business Unit,Parent Project Number,CY Q1 EAC,CY Q2 EAC,CY Q3 EAC,CY Q4 EAC,CY-1 Tot Act,CY+1 Tot Fcst,Program Manager,Project Sponsor,WS Drawdown Class,JV SubProgram,IT Count,OPPM Project Item ID,RCAP Financial Model,Created By,Parent / Child Value,Parent / Child Indicator,Creation Date,Maintenance Reporting Categories
BBH Vapor Corrosion Inhibitor 2023 Installation and Replenishment,Item,Open,MCAP,8410811M2305,Maintenance Framework,2076678,"Campbell, Jamie",East,2. Pending AFE,Defined,Cathodic Protection,,511999,,511999,511999,0,Green,480000,,480000,31999,,,512000,,,512000,Full,512000,,511999,511999,No,Green,4/1/2023,1/27/2023,1/27/2023,12/31/2023,8/31/2023,,,,,,,,,,,122240,15735,20439,121676,15735,20439,159561,15735,20439,,,VCI material was ordered. First delivery is scheduled to arrive terminal by 03/27/2023. Resulting in a large forecast for March.,3/8/2023,,,,East,Pipelines and Terminals,Integrity,,Bahamas Hub,841811 - BOR - MAINTENANCE,,122240,157850,195735,36174,,,"Geib, Rob","Stine, Carlton",,,1,45346,,"Guest, ProSight",Independent,Aqua,8/26/2022,Int - Planned Corr & FI
BETEH Tank 50 CP Deep Well Installation,Item,Candidate,MCAP,,Exempt,,"Logan, Rob",West,2. Pending AFE,,Cathodic Protection,,35000,,35000,35000,0,Green,35000,,35000,0,,,,,,,,,,35000,35000,No,Green,6/1/2023,,,,6/30/2023,,,,,,,,,,,,,,35000,,,,,,,,"3/02/2023 Pending AFE Have received one bid for project to date
 2/2/2023 Pending AFE Contractor visited site 1/2023",3/2/2023,,,,West,Pipelines and Terminals,Integrity,,E. Chicago Terminals,BETEH - BET HAMMOND TERMINAL,,0,35000,,,,,"Geib, Rob",,,,1,45727,,"Logan, Rob",Independent,Aqua,8/30/2022,Int - Planned Corr & FI
BETNB Cathodic Protection Header Cable reroute,Item,Candidate,MEXP,,Exempt,,"Rohr, Travis",West,2. Pending AFE,,Cathodic Protection,,20000,,20000,20000,0,Green,20000,,20000,0,,,,,,,,,,20000,20000,No,Green,6/1/2023,,,,6/30/2023,,,,,,,,,,,,,,20000,,,,,,,,3/2/23  Have met with contractor and am waiting for estimate.  2/3/23 Met with local OPS and laid out scope of work and have reached out to contractors for bid.,3/2/2023,,,,West,Pipelines and Terminals,Corrosion,,Sugar Creek,BETNB - BET COUNCIL BLUFFS,,0,20000,,,,,"Geib, Rob",,,,1,45445,,"Guest, ProSight",Independent,Aqua,8/26/2022,Int - Planned Corr & FI
BETQB QB-07 Third Plant Rectifier Replacement,Item,Open,MCAP,BETQB00M2205,Maintenance Framework,1971364,"Gable, Rob",East,7. Closed,Drawdown,Cathodic Protection,479,,,479.15,479,0,Green,,,,479,,,32000,,,32000,Full,32000,21756,,21756,No,Green,4/1/2022,4/15/2022,4/15/2022,10/30/2022,12/30/2022,,,479.15,,,,,,0,,,,,,,,,,,,,"2/16/2023 - Closed WO/PO, set OPPM project status to 'Closed'. 


2/2/2023 RAG - Ready to Close. No further invoices expected.  1/4/2023 RAG - Work completed for less then expected.  12/2/2022 RAG - Final work to be performed in Dec.  11/3/2022 RAG - Final work to be performed in Dec.  10/4/2022 RAG - Rectifier installed.  RMU's to be purchased to complete project.  Some funding returned as not needed.  9/6/2022 RAG - Rectifier arrived ahead of schedule.  Installation scheduled for next week. 8/2/2022 RAG - Rectifier taking longer than expected to ship.  7/1/2022 RAG - Rectifier to be delivered during last week of July.  5/2/2022 RAG - New project, PO issued for rectifier, no ship date provided.",2/16/2023,,"Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Baltimore,BETQB - BET BALTIMORE TERMINAL,,479,,,,21277,,"Geib, Rob","Geib, Robert",,,1,43373,,"Meitzler, Antoinette",Independent,Aqua,4/7/2022,Int - Planned Corr & FI
Bettendorf Tank 3 UT Probe Upgrade,Item,Open,MEXP,BETDF00E2206,Maintenance Framework,2051832,"Rohr, Travis",West,7. Closed,Drawdown,Cathodic Protection,198,,,198.39,198,0,Green,,,,198,,,7000,,,7000,Full,7000,7198,,7198,No,Green,12/1/2022,12/9/2022,12/9/2022,12/31/2022,12/31/2022,,,198.39,,,,,,,,,,,,,,,,,,,3/2/23 Completed.  2/3/23 Completed. 1/4/23 Work was completed week of Dec 12,3/2/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Corrosion,,Eastern Iowa,BETDF - BET BETTENDORF,,198,,,,7000,,"Geib, Rob","Shook, Mark B.",N/A,,1,46341,,"Schultz, Amy",JDE Child,Burnt Orange,12/9/2022,Int - Planned Corr & FI
BN160AS Rectifier Pole Replacement,Item,Open,MEXP,BN160ASE2302,Exempt,,"Gabriel, Jeff",West,2. Pending AFE,Defined,Cathodic Protection,,13500,,13500,13500,0,Green,13500,,13500,0,,,24000,,,,Full,24000,,13500,13500,No,Green,4/1/2023,,,7/30/2023,4/30/2023,,,,,,,,,,,,13500,,,,,,,,,,3/2/20223- AFE is complete and is being routed for approval,3/2/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Corrosion,,Central-Illinois,BN160AS - BARNETT TO AUBURN,,0,13500,,,,,"Geib, Rob","Geib, Robert",,,1,44166,,"Guest, ProSight",Independent,Aqua,7/18/2022,Int - Planned Corr & FI
Bourbonnais Distributed Ground Bed,Item,Candidate,MCAP,,Maintenance Framework,,"Scannell, Adam",West,2. Pending AFE,Defined,Cathodic Protection,,45000,,45000,45000,0,Green,45000,,45000,0,,,,,,,,,,45000,45000,No,Green,8/1/2023,,,,4/30/2023,,,,,,,,,,,,,,,,45000,,,,,,03/02/21 - This project is part of the overall West District CP project bid event. Award to contractor planned for end of March.,3/2/2021,"10/20/21 - 
This project will not be able to be completed by the end of the year. Forecast moved to 2022.

This was originally designed to be a deep well, and the drilling survey showed bed rock at approximately 20ft depth. The design was modified to be a distributed ground bed and ROW began working on securing a new easement with the landowners. The landowner has just indicated that they are not approving this easement and installation. The process to complete the easement for the alternate location will require engineered drawings, and a longer approval process that will not be able to be completed in time for a 2021 completion. 

04/09/21 - Forecast placeholder pushed back while developing schedule from bid event.","Hill, Elizabeth",,West,Pipelines and Terminals,Integrity,,Argo,KK162XX - KANKAKEE TO IN S/L,,0,,45000,,,,"Geib, Rob",,,,1,37876,,"Guest, ProSight",Independent,Aqua,8/13/2020,Int - Planned Corr & FI
BRS 25.3 Colby Rd AC repair,Item,Open,MEXP,RX751BXE2302,Maintenance Framework,2085712,"Norton, Bill",East,3. Active,Defined,Cathodic Protection,,25000,,25000,25000,0,Green,25000,,25000,0,,,24750,,,24750,Full,24750,,25000,25000,No,Green,8/1/2023,2/21/2023,2/21/2023,9/1/2023,11/30/2023,,,,,,,,,,,,,,,,25000,,,,,,,,,"Sautter, Maureen",,East,Pipelines and Terminals,Corrosion,,Auburn Pipeline,RX751BX - ROCHESTER JCT - BATAVIA STATIO,,0,,25000,,,,"Geib, Rob","Geib, Robert",,,1,44349,,"Guest, ProSight",Independent,Aqua,8/1/2022,Int - Planned Corr & FI
BTXHF - Underground piping CP and isolation,Item,Open,MCAP,BTXHF00M1706,Exempt,1358771,"Wirfs, Mike",Asset Integrity,7. Closed,Emergent,Cathodic Protection,,,,0,,0,Green,120000,,120000,-120000,,,12000,,,12000,Phase,12000,10915,,10915,No,Green,,7/23/2017,7/23/2017,7/21/2017,9/29/2017,,,,,,,,,,,,,,,,,,,,,,,,"11/27/2017 Per Prog Owner project deferred to fund BPTPC00M1708 - Perth Amboy Install CP Systems Supplemental AFE

11/10 - Project delays from contractor availability following hurricanes. Push to 2018. 4/6/2017 BMR - Updated forecast per conversation with Matt Meyer.  Matt Meyer is the project manager on the project.

9/24/16: Added budgetary scope and estimate for 250K","Schultz, Amy",,South,Pipelines and Terminals,Integrity,,Corpus Christi,BTXHF - Buckeye Texas Hub,6200187M1700,0,,,,,,"Geib, Rob","Charles, Jeffrey",,,1,16757,,"Simmons, Lourdes",Child (Major Project),Olive,9/16/2015,Int - Planned Corr & FI
BTXHF Cathodic Protection,Item,Candidate,MCAP,,Maintenance Framework,,"Wirfs, Mike",,1. Proposed,,Cathodic Protection,,120000,,120000,120000,0,Green,,,,120000,,,,,,,,,,120000,120000,No,Green,6/1/2023,,,,3/31/2023,,,,,,,,,,,,,,120000,,,,,,,,,,,,,South,Pipelines and Terminals,Integrity,,Corpus Christi,BTXHF - Buckeye Texas Hub,,0,120000,,,,,"Geib, Rob",,,,1,45721,,"Guest, ProSight",Independent,Aqua,8/30/2022,Int - Planned Corr & FI
BTXHF Hub 250 Series Tanks ER Probe Replacements,Item,Candidate,MEXP,,Maintenance Framework,,"Wirfs, Mike",,8. Canceled,,Cathodic Protection,,,,0,,0,Green,35000,,35000,-35000,,,,,,,,,,,,No,Green,,,,,3/31/2023,,,,,,,,,,,,,,,,,,,,,,12/1/22- Mike Wirfs completed this project in conjunction with the Galvanic Coupon installation project.,12/1/2022,,,,South,Pipelines and Terminals,Corrosion,,Corpus Christi,BTXHF - Buckeye Texas Hub,,0,,,,,,"Geib, Rob",,,,1,45687,,"Guest, ProSight",Independent,Aqua,8/29/2022,Int - Planned Corr & FI
Buffalo Vapor Corrosion Inhibitor Installation,Item,Candidate,MCAP,,Maintenance Framework,,"Herndon, Andrea",,1. Proposed,,Cathodic Protection,,30000,,30000,30000,0,Green,30000,,30000,0,,,,,,,,,,30000,30000,No,Green,9/1/2023,,,,9/30/2023,,,,,,,,,,,,,,,,,30000,,,,,,,,,,East,Pipelines and Terminals,Integrity,,Auburn Terminals,BETBO - BET BUFFALO TERMINAL,,0,,30000,,,,"Geib, Rob",,,,1,45347,,"Guest, ProSight",Independent,Aqua,8/26/2022,Int - Planned Corr & FI
CN165ZI Test Station Repairs,Item,Open,MEXP,CN165ZIE2201,Maintenance Framework,2014078,"Logan, Rob",West,7. Closed,Drawdown,Cathodic Protection,21,,,21.49,21,0,Green,,,,21,,,14000,,,14000,Full,14000,9463,,9463,No,Green,12/1/2022,8/31/2022,8/31/2022,10/31/2022,12/31/2022,,,21.49,,,,,,,,,,,,,,,,,,,"03/2023 Project Closed I will contact Barbara to get removed
1/4/2023 - Variance is due to forecast being locked.  drawdown project.  work completed.  Work came in under budet12/5/2022 PO Issued to Roberts awaiting contact from contractor for scheduling






11/1/2022 - work is scheduled for November.  10/4/2022 Awaiting contractor availability 


9/1/22 - PO requested on 8/31/22 for Roberts Pipeline",3/2/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Corrosion,,Indianapolis,CN165ZI - CARBON TO ZIONSVILLE,,21,,,,9442,,"Geib, Rob","Shook, Mark B.",N/A,,1,45736,,"Schultz, Amy",JDE Child,Burnt Orange,8/31/2022,Int - Planned Corr & FI
CP System Design and Installation Along JH724JM,Item,Candidate,MCAP,,Maintenance Framework,,"Gable, Rob",,1. Proposed,,Cathodic Protection,,90000,,90000,90000,0,Green,90000,,90000,0,,,,,,,,,,90000,90000,No,Green,6/1/2023,,,,9/30/2023,,,,,,,,,,,,,,5000,35000,40000,10000,,,,,3/2/2023 RAG - Work to begin during Q2.,3/2/2023,,,,East,Pipelines and Terminals,Integrity,,Mechanicsburg,JH724JM - HGHSPE JCT-MECHBRG JCT,,0,5000,85000,,,,"Geib, Rob",,,,1,45415,,"Guest, ProSight",Independent,Aqua,8/26/2022,Int - Planned Corr & FI
Dewitt Junction CP groundbed replacement,Item,Open,MCAP,DJ00000M2301,Maintenance Framework,2094191,"Norton, Bill",East,3. Active,Defined,Cathodic Protection,,45000,,45000,45000,0,Green,45000,,45000,0,,,45003,,,45003,Full,45003,,45000,45000,No,Green,8/1/2023,3/7/2023,3/7/2023,10/1/2023,11/30/2023,,,,,,,,,,,,,,,,45000,,,,,,,,,"Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Auburn Pipeline,DJ802ZR - DEWITT JCT TO VERONA,,0,,45000,,,,"Geib, Rob","Geib, Robert",,,1,44350,,"Guest, ProSight",Independent,Aqua,8/1/2022,Int - Planned Corr & FI
DF999A1 Critical Bond Install,Item,Candidate,MCAP,,Exempt,,"Scannell, Adam",West,2. Pending AFE,,Cathodic Protection,,35000,,35000,35000,0,Green,35000,,35000,0,,,,,,,,,,35000,35000,No,Green,9/1/2023,,,,9/30/2023,,,,,,,,,,,,,,,,,35000,,,,,02-03-2023 - MNH - Moving this in Adam's queue.,2/3/2023,,,,West,Pipelines and Terminals,Integrity,,Eastern Iowa,DF999A2,,0,,35000,,,,"Geib, Rob",,,,1,41550,,"Guest, ProSight",Independent,Aqua,8/19/2021,Int - Planned Corr & FI
DS - 344 TEST STATION REPAIRS,Item,Candidate,MEXP,,Exempt,,"Brown, Jeff",West,2. Pending AFE,,Cathodic Protection,,20000,,20000,20000,0,Green,20001,,20001,-1,,,,,,,,,,20000,20000,No,Green,10/1/2023,,,,12/31/2023,,,,,,,,,,,,,,,,,,20000,,,,3-2-23 4th QRTR PROJECT,3/2/2023,,,,West,Pipelines and Terminals,Corrosion,,Toledo,DS - TOLEDO STATION,,0,,,20000,,,"Geib, Rob",,,,1,45288,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
DT - Supplemental Anode Groundbed,Item,Candidate,MCAP,,Maintenance Framework,,"Gremer, Michael",West,2. Pending AFE,,Cathodic Protection,,64000,,64000,64000,0,Green,64000,,64000,0,,,,,,,,,,64000,64000,No,Green,4/1/2023,,,,5/31/2023,,,,,,,,,,,,30000,30000,4000,,,,,,,,"3/2/23 - PM working on scope of work (priority).
2/3/23 - PM working on scope of work.",3/2/2023,,,,West,Pipelines and Terminals,Integrity,,Duncansville,DT - DUNCANSVILLE STATION,,0,64000,,,,,"Geib, Rob",,,,1,45317,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
DT718DM - Supplemental Magnesium Groundbed,Item,Candidate,MCAP,,Maintenance Framework,,"Gremer, Michael",West,2. Pending AFE,,Cathodic Protection,,41000,,41000,41000,0,Green,41000,,41000,0,,,,,,,,,,41000,41000,No,Green,4/1/2023,,,,5/31/2023,,,,,,,,,,,,5000,36000,,,,,,,,,"3/2/23 - PM working on scope of work (priority).
2/3/23 - PM working on scope of work.",3/2/2023,,,,West,Pipelines and Terminals,Integrity,,Duncansville,DT718DM - DUNCANSVILLE STA-DELMONT,,0,41000,,,,,"Geib, Rob",,,,1,45331,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
EG999A1 Mag anode installation,Item,Candidate,MCAP,,Exempt,,"Logan, Rob",West,2. Pending AFE,,Cathodic Protection,,25000,,25000,25000,0,Green,25000,,25000,0,,,,,,,,,,25000,25000,No,Green,6/1/2023,,,,6/30/2023,,,,,,,,,,,,,,25000,,,,,,,,03/02/2023 AFE Pending,3/2/2023,,,,West,Pipelines and Terminals,Integrity,,E. Chicago Terminals,EG999A1 - BP WHITING - E CHIC BET CANAL,,0,25000,,,,,"Geib, Rob",,,,1,45686,,"Logan, Rob",Independent,Aqua,8/29/2022,Int - Planned Corr & FI
GA425GE - Shorted Casing Remediation - Main St.,Item,Candidate,MEXP,,Maintenance Framework,,"Gremer, Michael",West,2. Pending AFE,,Cathodic Protection,,162000,,162000,162000,0,Green,162000,,162000,0,,,,,,,,,,162000,162000,No,Green,7/1/2023,,,,8/31/2023,,,,,,,,,,,,,,,132000,30000,,,,,,"3/2/23 - PM working on scope of work.
2/3/23 - PM working on scope of work.",3/2/2023,,,,West,Pipelines and Terminals,Corrosion,,Mantua,GA425GE - AURORA TO MANTUA-#2-E,,0,,162000,,,,"Geib, Rob",,,,1,45306,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
GC425GK - Shorted Casing Remediation - Ridge Rd.,Item,Candidate,MEXP,,Maintenance Framework,,"Gremer, Michael",West,2. Pending AFE,,Cathodic Protection,,155000,,155000,155000,0,Green,155000,,155000,0,,,,,,,,,,155000,155000,No,Green,7/1/2023,,,,8/31/2023,,,,,,,,,,,,,,,125000,30000,,,,,,"3/2/23 - PM working on scope of work.
2/3/23 - PM working on scope of work.",3/2/2023,,,,West,Pipelines and Terminals,Corrosion,,Mantua,GC425GK - WAKEMAN - BRECKSVILLE-#2-E,,0,,155000,,,,"Geib, Rob",,,,1,45311,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
GE521ZC - Shorted Casing Remediation - New Rd.,Item,Candidate,MEXP,,Maintenance Framework,,"Gremer, Michael",West,2. Pending AFE,,Cathodic Protection,,155000,,155000,155000,0,Green,155000,,155000,0,,,,,,,,,,155000,155000,No,Green,8/1/2023,,,,9/30/2023,,,,,,,,,,,,,,,,125000,30000,,,,,"3/2/23 - PM working on scope of work.
2/3/23 - PM working on scope of work.",3/2/2023,,,,West,Pipelines and Terminals,Corrosion,,Mantua,GE521ZC - MANTUA TO COLUMBIANA,,0,,155000,,,,"Geib, Rob",,,,1,45312,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
GE52ZC - AC Mitigation Design Study,Item,Candidate,MEXP,,Exempt,,"Gremer, Michael",West,2. Pending AFE,,Cathodic Protection,,30000,,30000,30000,0,Green,30000,,30000,0,,,,,,,,,,30000,30000,No,Green,7/1/2023,,,,7/31/2023,,,,,,,,,,,,,,,30000,,,,,,,"3/2/23 - PM working on scope of work.
2/3/23 - PM working on scope of work.",3/2/2023,,,,West,Pipelines and Terminals,Corrosion,,Mantua,GE521ZC - MANTUA TO COLUMBIANA,,0,,30000,,,,"Geib, Rob",,,,1,45329,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
Granville Terminal Deep Well Replacement,Item,Open,MCAP,BETAK00M2208,Maintenance Framework,2023405,"Gabriel, Jeff",West,6. Operational,Drawdown,Cathodic Protection,2339,,,2339.34,2339,0,Green,,,,2339,,,67000,,,67000,Full,67000,73176,,73176,No,Green,10/1/2022,9/23/2022,9/23/2022,12/15/2022,12/31/2022,,,2238.6,100.74,,,101,Red,0,,,,,,,,,,,,,"1/3/2023- Work complete need to accrue 55,644


12/2/2022- work is Scheduled for 12/6  


11/1/2022 - PO will be issued this week NIS is completing the wort. 


10/1/2022- Material ordered NIS will be completing the work",1/3/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Integrity,,West Shore Terminals,BETAK - BET GRANVILLE,,2339,,,,70836,,"Geib, Rob","Geib, Robert",,,1,45878,,"Gardner, Travis",Independent,Aqua,9/20/2022,Int - Planned Corr & FI
Hartsdale Cathodic Protection Upgrade,Item,Open,MCAP,HD00000M2202,Maintenance Framework,2013042,"Logan, Rob",West,6. Operational,Emergent,Cathodic Protection,1028,,,1027.58,1028,0,Green,,,,1028,,,165000,,,165000,Full,165000,182562,,182562,Yes,Red,10/1/2022,9/1/2022,9/1/2022,10/31/2022,12/31/2022,,,1027.58,,,,,,0,,,,,,,,,,,,,"03/02/2023 Project over budget/ Contingency by $2,398 due do internal labor cost




1/4/2023 - work completed.  12/5/2022 Variance is for local asset team time on project.  Rectifier installation scheduled for Thursday 12/8/2022




11/1/2022 - work started early.  90% completed.  9/27/2022 Start date 10/17/2022


9/1/2022 - Waiting on AFE approval. ordering rectifiers to determine start date.",3/2/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Integrity,,E. Chicago Terminals,HD - HARTSDALE,,1028,,,,181535,,"Geib, Rob","Geib, Robert",,,1,45126,,"Gardner, Travis",Independent,Aqua,8/22/2022,Int - Planned Corr & FI
HT160DQ Rectifier Pole Replacement,Item,Open,MEXP,HT160DQM2302,Exempt,,"Gabriel, Jeff",West,2. Pending AFE,Defined,Cathodic Protection,,13500,,13500,13500,0,Green,13500,,13500,0,,,24000,,,,Full,24000,,13500,13500,No,Green,4/1/2023,,,7/30/2023,4/30/2023,,,,,,,,,,,,13500,,,,,,,,,,3/2/2023- AFE is complete and is being routed for approval,3/2/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Corrosion,,Central-Illinois,HT160DQ - HARRISTOWN JCT TO DEWITT,,0,13500,,,,,"Geib, Rob","Geib, Robert",,,1,44167,,"Guest, ProSight",Independent,Aqua,7/18/2022,Int - Planned Corr & FI
Interference Testing 331/344/380,Item,Open,MEXP,DS302CGE2202,Maintenance Framework,1946431,"Brown, Jeff",West,7. Closed,Drawdown,Cathodic Protection,0,,,-0.01,0,0,Green,,,,0,,,10000,,,10000,Full,10000,10000,,10000,No,Green,11/1/2022,2/10/2022,2/10/2022,12/31/2022,11/30/2022,,,-0.01,,,,,,0,,,,,,,,,,,,,12-5-22 JOB COMPLETED 10-31-22 TO BE COMPLETED NOV-DEC 10/4/2022 - work scheduled in October.  9/1/2022 - still scheduled for Oct.  7/7/2022 - no change to schedule.  6/3/2022 - work scheduled for October  4/5/2022 - work scheduled for October.,12/5/2022,,"Hill, Elizabeth",,West,Pipelines and Terminals,Corrosion,,Toledo,DS302CG - TOLEDO TO CYGNET 10IN SOUTH,,0,,,,10000,,"Geib, Rob","Shook, Mark B.",N/A,,1,42904,,"Schultz, Amy",JDE Child,Burnt Orange,2/10/2022,Int - Planned Corr & FI
Jet Lines Test Station Repair / Replacement,Item,Open,MEXP,BETWE00E2203,Maintenance Framework,1946425,"Occhi, Edward",East,7. Closed,Defined,Cathodic Protection,2809,,,2809,2809,0,Green,,,,2809,,,40000,,,40000,Full,40000,43992,,43992,No,Green,3/1/2022,2/10/2022,2/10/2022,12/31/2022,11/30/2022,,,2809,,,,,,0,,,,,,,,,,,,,"2/2/2023 reclass submitted $155 to BETWE00E2204.
2/2/2023 - CT SELF ASSES FEE  TRIGGER SUPPLEMENT.",2/2/2023,,"Walker, Carol",,East,Pipelines and Terminals,Corrosion,,Jet Lines,BETWE - BET WETHERSFIELD TERMINAL,,2809,,,,41183,,"Geib, Rob","Geib, Robert",,,1,40609,,"Guest, ProSight",Independent,Aqua,7/23/2021,Int - Planned Corr & FI
LA - L331 TEST STATION REPAIRS,Item,Open,MEXP,LA00000E2302,Exempt,2094186,"Brown, Jeff",West,3. Active,Defined,Cathodic Protection,,30000,,30000,30000,0,Green,30000,,30000,0,,,30583,,,30583,Full,30583,,30000,30000,No,Green,4/1/2023,3/7/2023,3/7/2023,6/30/2023,7/31/2023,,,,,,,,,,,15000,15000,,,,,,,,,,3-2-23 AFE IS IN ROUTING,3/2/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Corrosion,,Lima Pipelines,LA - LIMA STATION,,15000,15000,,,,,"Geib, Rob","Geib, Robert",,,1,45286,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
LA402XX - DEFIANCE TRAIL RECTIFIER REPLACEMENT,Item,Candidate,MCAP,,Exempt,,"Brown, Jeff",West,2. Pending AFE,,Cathodic Protection,,30000,,30000,30000,0,Green,30000,,30000,0,,,,,,,,,,30000,30000,No,Green,11/1/2023,,,,6/30/2023,,,,,,,,,,,,,,,,,,,30000,,,3-2-23 HOLDING ONTO THIS PRJECT YET,3/2/2023,,,,West,Pipelines and Terminals,Integrity,,Lima Pipelines,LA402XX - LIMA-IND S/L/HUNTINGTON W,,0,,,30000,,,"Geib, Rob",,,,1,45282,,"Guest, ProSight",Independent,Aqua,8/25/2022,Int - Planned Corr & FI
LA402XX DEFIANCE TRAIL RECTIFIER REPLACEMENT,Item,Open,MCAP,LA402XXM2301,Exempt,2085667,"Brown, Jeff",West,3. Active,Defined,Cathodic Protection,,11000,,11000,11000,0,Green,11000,,11000,0,,,14910,,,14910,Full,14910,,11000,11000,No,Green,5/1/2023,2/21/2023,2/21/2023,12/31/2023,5/31/2023,,,,,,,,,,,5000,,6000,,,,,,,,,3-2-23 AFE APPROVED-ORDER RECTIFIER-02-03-23 - MNH - AFE is routed,3/2/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Lima Pipelines,LA402XX - LIMA-IND S/L/HUNTINGTON W,,5000,6000,,,,,"Geib, Rob","Geib, Robert",,,1,45364,,"Gardner, Travis",Independent,Aqua,8/26/2022,Int - Planned Corr & FI
LIMA STATION ADD 6 CHANNEL RMU-3 FOR ANODE MONITORING,Item,Open,MCAP,LA00000M2303,Exempt,2085716,"Brown, Jeff",West,3. Active,Defined,Cathodic Protection,,5500,,5500,5500,0,Green,5500,,5500,0,,,6175,,,6175,Full,6175,,5500,5500,No,Green,4/1/2023,2/22/2023,2/22/2023,10/31/2023,4/30/2023,,,,,,,,,,,,5500,,,,,,,,,,3-2-23 AFE APPROVED-ORDER RMU-2-03-23 - MNH - AFE is routed,3/2/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Lima Pipelines,LA - LIMA STATION,,0,5500,,,,,"Geib, Rob","Geib, Robert",N/A,,1,25588,,"Guest, ProSight",Independent,Aqua,9/7/2017,Int - Planned Corr & FI
Long Island Test Station Repair / Replacement,Item,Open,MEXP,JK00000E2202,Maintenance Framework,1939601,"Occhi, Edward",East,7. Closed,Defined,Cathodic Protection,210,,,210.05,210,0,Green,,,,210,,,60000,,,60000,Full,60000,60472,,60472,No,Green,6/1/2022,1/27/2022,1/27/2022,12/31/2022,11/30/2022,,,210.05,,,,,,0,,,,,,,,,,,,,,,,"Walker, Carol",,East,Pipelines and Terminals,Corrosion,,Long Island,LY - LONG ISLAND CITY TERMINAL,,210,,,,60262,,"Geib, Rob","Geib, Robert",,,1,40610,,"Guest, ProSight",Independent,Aqua,7/23/2021,Int - Planned Corr & FI
Macungie Terminal 1 Replace Rectifier BESZG-01,Item,Open,MCAP,BESZG00M2302,Maintenance Framework,2085714,"Gable, Rob",East,3. Active,Defined,Cathodic Protection,,32000,,32000,32000,0,Green,32000,,32000,0,,,32078,,,32078,Full,32078,,32000,32000,No,Green,4/1/2023,2/22/2023,2/22/2023,9/30/2023,7/31/2023,,,,,,,,,,,,10000,,17000,5000,,,,,,,3/2/2023 RAG - Awaiting quotes from Diefenderfer and JA Electronics.,3/2/2023,,"Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Macungie Terminal,BESZG - BES MACUNGIE #1 TERM FH 1&2,,0,27000,5000,,,,"Geib, Rob","Geib, Robert",,,1,45423,,"Guest, ProSight",Independent,Aqua,8/26/2022,Int - Planned Corr & FI
